1	1	5690
2	2	721526
3	3	721526
4	4	721526
5	5	5690
6	6	5690
7	8	5690
8	9	85156
9	10	525910
10	11	804434
11	13	525910
12	14	525910
13	15	721526
14	16	525910
15	18	804434
16	20	10291
17	22	525910
18	23	525910
19	24	10291
20	26	525910
21	27	525910
22	28	525910
23	29	525910
24	31	525910
25	32	804434
26	33	525910
27	34	617588
28	35	617588
29	36	5690
30	37	617588
31	40	617588
32	41	525910
33	42	617588
34	45	617588
35	46	617588
36	50	617588
37	51	617588
38	52	895515
39	54	617588
40	57	617588
41	58	617588
42	59	617588
43	63	617588
44	67	617588
45	68	617588
46	69	617588
47	70	525910
48	71	617588
49	72	617588
50	73	617588
51	74	617588
52	75	617588
53	76	5690
54	78	234288
55	80	617588
56	81	617588
57	82	5690
58	83	617588
59	84	617588
60	85	617588
61	86	617588
62	87	617588
63	88	617588
64	90	617588
65	91	617588
66	92	617588
67	94	617588
68	95	617588
69	97	617588
70	98	617588
71	100	617588
72	102	617588
73	103	617588
74	105	617588
75	107	617588
76	108	5690
77	109	5690
78	110	5690
79	111	5690
80	112	5690
81	113	5690
82	114	617588
83	115	617588
84	117	234288
85	119	617588
86	120	617588
87	121	609678
88	122	617588
89	123	617588
90	124	617588
91	126	617588
92	128	617588
93	129	617588
94	131	617588
95	132	617588
96	135	5690
97	138	617588
98	140	349785
99	143	349785
100	144	349785
101	146	349785
102	147	714557
103	148	349785
104	149	617588
105	151	617588
106	152	617588
107	153	808310
108	155	617588
109	156	617588
110	159	617588
111	164	349785
112	169	698645
113	172	808310
114	174	471818
115	175	795060
116	179	617588
117	181	808310
118	182	666972
119	184	924920
120	190	471818
121	203	349785
122	208	808310
123	210	617588
124	211	617588
125	213	349785
126	215	471818
127	218	617588
128	222	349785
129	228	349785
130	230	617588
131	231	795060
132	234	617588
133	235	617588
134	242	617588
135	246	617588
136	248	808310
137	261	617588
138	264	617588
139	269	666972
140	272	808310
141	273	932055
142	284	349785
143	285	95816
144	286	349785
145	291	349785
146	299	349785
147	300	85865
148	302	349785
149	304	808310
150	306	561109
151	308	808310
152	309	378408
153	313	808310
154	318	804434
155	319	793094
156	341	692105
157	346	692105
158	349	95816
159	350	666972
160	353	692105
161	355	932055
162	357	95816
